Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,BallsBowled,RunsConceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age
232,Sumit Narwal,KKR,IND,23,15,153.3,4,0,23,12,17,8.5,0,0,0,2,31
233,Sunil Narine,KKR,WI,21,19,110.5,0,2,13,384,350,5.5,22,6,0.5,16,25
234,Sunny Singh,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26
235,Sunny Sohal,BRC,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25
236,Suresh Raina,CSK,IND,548,364,150.5,50,18,100,12,23,11.5,1,10,2.5,17,26
237,Suryakumar Yadav,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22
238,Sushant Marathe,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,27
239,Tamim Iqbal,PWI,BAN,0,0,-,0,0,0,0,0,-,0,0,0,0,24
240,Thalaivan Sargunam,SH,IND,10,17,58.8,0,0,10,0,0,-,0,0,0,1,27
241,Thisara Perera,SH,SL,233,163,142.9,12,14,40,358,478,8,19,5,2,16,23
242,Tillakaratne Dilshan,BRC,SL,76,93,81.7,12,0,33,6,10,10,0,2,0,5,36
243,Tirumalasetti Suman,PWI,IND,52,58,89.7,8,0,23,12,15,7.5,1,2,0,7,29
244,Udit Birla,PWI,IND,7,14,50,1,0,7,0,0,-,0,1,0,2,23
245,Umesh Yadav,DD,IND,38,38,100,3,1,12,347,508,8.8,16,5,1,16,25
246,Unmukt Chand,DD,IND,158,158,100,17,4,41,0,0,-,0,2,0,9,20
247,Varun Aaron,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23
248,Veer Pratap Singh,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,21
249,Venugopal Rao,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,1,31
250,Vijay Shankar,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,22
251,Vijay Zol,BRC,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,18
252,Vikramjeet Malik,RR,IND,0,0,-,0,0,0,60,59,5.9,2,0,0,3,30
253,Vinay Kumar,BRC,IND,70,44,159.1,6,3,26,361,493,8.2,23,8,1.5,16,29
254,Virat Kohli,BRC,IND,634,457,138.7,64,22,99,0,0,-,0,7,2.5,16,24
255,Virender Sehwag,DD,IND,295,233,126.6,41,6,95,6,9,9,0,5,0,13,34
256,Wayne Parnell,PWI,SA,5,7,71.4,0,0,5,89,137,9.2,6,1,0,4,23
257,Wriddhiman Saha,CSK,IND,70,56,125,6,4,39,0,0,-,0,0,0,3,28
258,XCSK,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,1
259,XMI,MI,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
260,XPWI,PWI,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
261,XRCB,BRC,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
262,XRR,RR,0,0,0,-,0,0,0,0,0,-,0,0,0,0,
263,XSH,SH,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
264,YCSK,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,1
265,YDD,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,1
266,YKXI,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,1
267,YMI,MI,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
268,Yogesh Nagar,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23
269,YPWI,PWI,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
270,YRCB,BRC,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
271,YRR,RR,0,0,0,-,0,0,0,0,0,-,0,0,0,0,
272,YSH,SH,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
273,Yusuf Pathan,KKR,IND,332,240,138.3,30,14,72,54,73,8.1,1,13,1,16,30
274,Yuvraj Singh,PWI,IND,238,190,125.3,14,15,34,132,152,6.9,6,1,0,13,31
275,Yuzvendra Chahal,MI,IND,0,0,-,0,0,0,24,34,8.5,0,0,0,1,22
276,Zaheer Khan,BRC,IND,0,0,-,0,0,0,36,47,7.8,5,1,0,2,34
277,ZCSK,CSK,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,1
278,ZDD,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,1
279,ZKKR,KKR,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
280,ZKXI,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,1
281,ZMI,MI,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
282,ZPWI,PWI,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
283,ZRCB,BRC,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
284,ZRR,RR,0,0,0,-,0,0,0,0,0,-,0,0,0,0,
285,ZSH,SH,0,0,0,-,0,0,0,0,0,-,0,0,0,0,1
